,,,,,,,,,,,,,,,,,,,,,,,,,,,max_TTL
10.30.220.204,208.67.222.222,sodium.slp.pos.here.com,26169,83639,60,35,35,35,,,,,,,,,,,,,,,,,,,83639
10.30.220.230,208.67.222.222,sodium.slp.pos.here.com,33339,82247,60,21,21,21,,,,,,,,,,,,,,,,,,,82247
10.30.220.230,208.67.222.222,sodium.slp.pos.here.com,73338,81349,60,59,59,59,,,,,,,,,,,,,,,,,,,81349
10.30.220.230,208.67.222.222,sodium.slp.pos.here.com,31186,80094,60,5,5,5,,,,,,,,,,,,,,,,,,,80094
10.30.232.170,1.0.0.1,a.nel.cloudflare.com,78724,,,,,,,,,,,,,,,,,,,,,,,,78724
10.30.254.172,1.1.1.1,relay-02db6475.net.anydesk.com,74832,,,,,,,,,,,,,,,,,,,,,,,,74832
10.30.220.230,208.67.222.222,sodium.slp.pos.here.com,60657,74290,60,29,29,29,,,,,,,,,,,,,,,,,,,74290
10.30.220.230,208.67.222.222,sodium.slp.pos.here.com,58917,72550,60,17,17,17,,,,,,,,,,,,,,,,,,,72550
10.30.220.230,208.67.222.222,sodium.slp.pos.here.com,20475,61686,60,60,60,60,,,,,,,,,,,,,,,,,,,61686
10.30.220.230,208.67.222.222,sodium.slp.pos.here.com,19647,60938,60,60,60,60,,,,,,,,,,,,,,,,,,,60938
10.30.238.223,180.76.76.76,mybabyunicorn1.sng.link,21730,430,3731,,,,,,,,,,,,,,,,,,,,,,21730
10.30.238.223,180.76.76.76,mybabyunicorn1.sng.link,21730,430,3731,,,,,,,,,,,,,,,,,,,,,,21730
10.30.238.223,180.76.76.76,mybabyunicorn1.sng.link,21730,430,3731,,,,,,,,,,,,,,,,,,,,,,21730
10.30.238.223,180.76.76.76,junglefloof.sng.link,21730,430,3731,,,,,,,,,,,,,,,,,,,,,,21730
10.30.238.223,180.76.76.76,junglefloof.sng.link,21730,430,3731,,,,,,,,,,,,,,,,,,,,,,21730
10.30.238.223,180.76.76.76,floof.sng.link,21726,426,3727,,,,,,,,,,,,,,,,,,,,,,21726
10.30.238.223,180.76.76.76,ai0eac-inapps.appsflyersdk.com,1111,21661,150,,,,,,,,,,,,,,,,,,,,,,21661
10.30.226.145,8.8.8.8,a.nel.cloudflare.com,21600,,,,,,,,,,,,,,,,,,,,,,,,21600
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21600,300,300,,,,,,,,,,,,,,,,,,,,,,21600
10.30.253.228,8.8.8.8,sodium.slp.pos.here.com,21600,21600,60,58,58,58,,,,,,,,,,,,,,,,,,,21600
10.30.224.18,8.8.8.8,sodium.slp.pos.here.com,21600,21600,60,58,58,58,,,,,,,,,,,,,,,,,,,21600
10.30.221.30,8.8.8.8,sodium.slp.pos.here.com,21600,21600,60,41,41,41,,,,,,,,,,,,,,,,,,,21600
10.30.221.30,8.8.8.8,sodium.slp.pos.here.com,21600,21600,60,56,56,56,,,,,,,,,,,,,,,,,,,21600
10.30.220.230,8.8.8.8,sodium.slp.pos.here.com,21600,21600,60,26,26,26,,,,,,,,,,,,,,,,,,,21600
10.30.220.230,8.8.8.8,sodium.slp.pos.here.com,21600,21600,60,55,55,55,,,,,,,,,,,,,,,,,,,21600
10.30.220.230,8.8.8.8,sodium.slp.pos.here.com,21600,21600,60,3,3,3,,,,,,,,,,,,,,,,,,,21600
10.30.220.230,8.8.8.8,sodium.slp.pos.here.com,21600,21600,60,54,54,54,,,,,,,,,,,,,,,,,,,21600
10.30.220.230,8.8.8.8,sodium.slp.pos.here.com,21600,21600,60,2,2,2,,,,,,,,,,,,,,,,,,,21600
10.30.220.230,8.8.8.8,sodium.slp.pos.here.com,21600,21600,60,10,10,10,,,,,,,,,,,,,,,,,,,21600
10.30.220.230,8.8.8.8,sodium.slp.pos.here.com,21600,21600,60,12,12,12,,,,,,,,,,,,,,,,,,,21600
10.30.220.230,8.8.8.8,sodium.slp.pos.here.com,21600,21600,60,14,14,14,,,,,,,,,,,,,,,,,,,21600
10.30.220.230,8.8.8.8,sodium.slp.pos.here.com,21600,21600,60,7,7,7,,,,,,,,,,,,,,,,,,,21600
10.30.220.230,8.8.8.8,sodium.slp.pos.here.com,21600,21600,60,4,4,4,,,,,,,,,,,,,,,,,,,21600
10.30.220.230,8.8.8.8,sodium.slp.pos.here.com,21600,21600,60,3,3,3,,,,,,,,,,,,,,,,,,,21600
10.30.220.230,8.8.8.8,sodium.slp.pos.here.com,21600,21600,60,26,26,26,,,,,,,,,,,,,,,,,,,21600
10.30.220.230,8.8.8.8,sodium.slp.pos.here.com,21600,21600,60,29,29,29,,,,,,,,,,,,,,,,,,,21600
10.30.220.230,8.8.8.8,sodium.slp.pos.here.com,21600,21600,60,25,25,25,,,,,,,,,,,,,,,,,,,21600
10.30.220.230,8.8.8.8,sodium.slp.pos.here.com,21600,21600,60,18,18,18,,,,,,,,,,,,,,,,,,,21600
10.30.220.230,8.8.8.8,sodium.slp.pos.here.com,21600,21600,60,54,54,54,,,,,,,,,,,,,,,,,,,21600
10.30.220.230,8.8.8.8,sodium.slp.pos.here.com,21600,21600,60,32,32,32,,,,,,,,,,,,,,,,,,,21600
10.30.220.230,8.8.8.8,sodium.slp.pos.here.com,21600,21600,60,1,1,1,,,,,,,,,,,,,,,,,,,21600
10.30.220.230,8.8.8.8,sodium.slp.pos.here.com,21600,21600,60,51,51,51,,,,,,,,,,,,,,,,,,,21600
10.30.220.230,8.8.8.8,sodium.slp.pos.here.com,21600,21600,60,53,53,53,,,,,,,,,,,,,,,,,,,21600
10.30.220.230,8.8.8.8,sodium.slp.pos.here.com,21600,21600,60,44,44,44,,,,,,,,,,,,,,,,,,,21600
10.30.220.230,8.8.8.8,sodium.slp.pos.here.com,21600,21600,60,52,52,52,,,,,,,,,,,,,,,,,,,21600
10.30.220.230,8.8.8.8,sodium.slp.pos.here.com,21600,21600,60,26,26,26,,,,,,,,,,,,,,,,,,,21600
10.30.220.230,8.8.8.8,sodium.slp.pos.here.com,21600,21600,60,41,41,41,,,,,,,,,,,,,,,,,,,21600
10.30.236.9,8.8.8.8,global.market.xiaomi.com,21600,60,60,60,60,,,,,,,,,,,,,,,,,,,,21600
10.30.219.139,8.8.8.8,s-vps18.avcdn.net,486,21599,20,,,,,,,,,,,,,,,,,,,,,,21599
10.30.219.139,8.8.8.8,s-vps18.avcdn.net,486,21599,20,,,,,,,,,,,,,,,,,,,,,,21599
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21599,299,299,,,,,,,,,,,,,,,,,,,,,,21599
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21599,299,299,,,,,,,,,,,,,,,,,,,,,,21599
10.30.239.53,208.67.222.222,www.bing.com,12945,13,21599,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,,21599
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21599,299,299,,,,,,,,,,,,,,,,,,,,,,21599
10.30.244.55,8.8.8.8,s-vps18.avcdn.net,504,21599,20,,,,,,,,,,,,,,,,,,,,,,21599
10.30.219.139,8.8.8.8,l2983942.iavs9x.u.avast.com,7082,21598,20,20,,,,,,,,,,,,,,,,,,,,,21598
10.30.244.55,8.8.8.8,d3176133.iavs9x.u.avast.com,6744,21598,20,20,,,,,,,,,,,,,,,,,,,,,21598
10.30.244.55,8.8.8.8,w5805295.iavs9x.u.avast.com,7012,21598,20,20,,,,,,,,,,,,,,,,,,,,,21598
10.30.244.55,8.8.8.8,j0294597.iavs9x.u.avast.com,4062,21598,20,20,,,,,,,,,,,,,,,,,,,,,21598
10.30.244.55,8.8.8.8,d3176133.iavs9x.u.avast.com,6744,21598,20,20,,,,,,,,,,,,,,,,,,,,,21598
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21598,298,298,,,,,,,,,,,,,,,,,,,,,,21598
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21598,298,298,,,,,,,,,,,,,,,,,,,,,,21598
10.30.221.65,8.8.8.8,nrdp-cell4.prod.ftl.netflix.com,21597,297,297,,,,,,,,,,,,,,,,,,,,,,21597
10.30.244.55,8.8.8.8,p9854759.vps18.u.avcdn.net,1032,21597,20,20,,,,,,,,,,,,,,,,,,,,,21597
10.30.244.55,8.8.8.8,g1928587.vps18.u.avcdn.net,670,21597,20,20,,,,,,,,,,,,,,,,,,,,,21597
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21597,297,297,,,,,,,,,,,,,,,,,,,,,,21597
10.30.244.55,8.8.8.8,n4291289.iavs9x.u.avast.com,7098,21597,20,20,,,,,,,,,,,,,,,,,,,,,21597
10.30.244.55,8.8.8.8,l2983942.iavs9x.u.avast.com,7197,21597,20,20,,,,,,,,,,,,,,,,,,,,,21597
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21597,297,297,,,,,,,,,,,,,,,,,,,,,,21597
10.30.220.230,8.8.8.8,sodium.slp.pos.here.com,19328,21597,60,13,13,13,,,,,,,,,,,,,,,,,,,21597
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21596,296,296,,,,,,,,,,,,,,,,,,,,,,21596
10.30.244.55,8.8.8.8,c3978047.vps18.u.avcdn.net,1070,21596,17,17,17,17,17,,,,,,,,,,,,,,,,,,21596
10.30.244.55,8.8.8.8,g1928587.vps18.u.avcdn.net,669,21596,17,17,17,17,17,,,,,,,,,,,,,,,,,,21596
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21596,296,296,,,,,,,,,,,,,,,,,,,,,,21596
10.30.221.65,8.8.8.8,nrdp-cell4.prod.ftl.netflix.com,21595,295,295,,,,,,,,,,,,,,,,,,,,,,21595
10.30.224.18,208.67.222.222,vcs-va.tiktokv.com,501,54,21595,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,,21595
10.30.224.195,8.8.8.8,s-iavs9x.avcdn.net,1182,21595,20,,,,,,,,,,,,,,,,,,,,,,21595
10.30.224.195,8.8.8.8,s-iavs9x.avcdn.net,1182,21595,20,,,,,,,,,,,,,,,,,,,,,,21595
10.30.228.241,208.67.222.222,api16-log-va.pangle.io,295,21595,20,20,20,20,20,20,,,,,,,,,,,,,,,,,21595
